"Region","vtkOriginalCellIds","Cell Type"
3,6674,5
3,6675,5
3,6676,5
3,6677,5
3,6680,5
3,6681,5
3,6686,5
3,6687,5
3,6688,5
3,6689,5
3,6694,5
3,6695,5
3,6698,5
3,6699,5
3,6700,5
3,6701,5
3,6802,5
3,6803,5
3,6804,5
3,6805,5
3,6808,5
3,6809,5
3,6814,5
3,6815,5
3,6816,5
3,6817,5
3,6822,5
3,6823,5
3,6826,5
3,6827,5
3,6828,5
3,6829,5
3,6836,5
3,6837,5
3,6838,5
3,6839,5
3,6844,5
3,6845,5
3,6846,5
3,6847,5
3,6848,5
3,6849,5
3,6850,5
3,6851,5
3,6856,5
3,6857,5
3,6858,5
3,6859,5
3,7602,5
3,7603,5
3,7604,5
3,7605,5
3,7608,5
3,7609,5
3,7614,5
3,7615,5
3,7616,5
3,7617,5
3,7622,5
3,7623,5
3,7626,5
3,7627,5
3,7628,5
3,7629,5
3,8564,5
3,8565,5
3,8566,5
3,8567,5
3,8572,5
3,8573,5
3,8574,5
3,8575,5
3,8576,5
3,8577,5
3,8578,5
3,8579,5
3,8584,5
3,8585,5
3,8586,5
3,8587,5
3,8660,5
3,8661,5
3,8662,5
3,8663,5
3,8668,5
3,8669,5
3,8670,5
3,8671,5
3,8672,5
3,8673,5
3,8674,5
3,8675,5
3,8680,5
3,8681,5
3,8682,5
3,8683,5
3,8756,5
3,8757,5
3,8758,5
3,8759,5
3,8764,5
3,8765,5
3,8766,5
3,8767,5
3,8768,5
3,8769,5
3,8770,5
3,8771,5
3,8776,5
3,8777,5
3,8778,5
3,8779,5
3,8882,5
3,8883,5
3,8884,5
3,8885,5
3,8888,5
3,8889,5
3,8894,5
3,8895,5
3,8896,5
3,8897,5
3,8902,5
3,8903,5
3,8906,5
3,8907,5
3,8908,5
3,8909,5
3,8918,5
3,8936,5
3,8937,5
3,8938,5
3,9010,5
3,9012,5
3,9013,5
3,9022,5
3,9024,5
3,9025,5
3,9030,5
3,9031,5
3,9034,5
3,9035,5
3,9036,5
3,9037,5
3,9138,5
3,9139,5
3,9140,5
3,9141,5
3,9144,5
3,9145,5
3,9150,5
3,9151,5
3,9152,5
3,9153,5
3,9158,5
3,9159,5
3,9162,5
3,9163,5
3,9164,5
3,9165,5
3,9172,5
3,9173,5
3,9174,5
3,9175,5
3,9180,5
3,9181,5
3,9182,5
3,9183,5
3,9184,5
3,9185,5
3,9186,5
3,9187,5
3,9192,5
3,9193,5
3,9194,5
3,9195,5
3,9202,5
3,9203,5
3,9204,5
3,9205,5
3,9208,5
3,9209,5
3,9214,5
3,9215,5
3,9216,5
3,9217,5
3,9222,5
3,9223,5
3,9226,5
3,9227,5
3,9228,5
3,9229,5
3,9236,5
3,9237,5
3,9238,5
3,9239,5
3,9244,5
3,9245,5
3,9246,5
3,9247,5
3,9248,5
3,9249,5
3,9250,5
3,9251,5
3,9256,5
3,9257,5
3,9258,5
3,9259,5
3,9268,5
3,9269,5
3,9270,5
3,9271,5
3,9276,5
3,9277,5
3,9278,5
3,9279,5
3,9280,5
3,9281,5
3,9282,5
3,9283,5
3,9288,5
3,9289,5
3,9290,5
3,9291,5
3,9650,5
3,9651,5
3,9652,5
3,9653,5
3,9656,5
3,9657,5
3,9662,5
3,9663,5
3,9664,5
3,9665,5
3,9670,5
3,9671,5
3,9674,5
3,9675,5
3,9676,5
3,9677,5
3,9682,5
3,9683,5
3,9684,5
3,9685,5
3,9688,5
3,9689,5
3,9694,5
3,9695,5
3,9696,5
3,9697,5
3,9702,5
3,9703,5
3,9706,5
3,9707,5
3,9708,5
3,9709,5
3,9714,5
3,9715,5
3,9716,5
3,9717,5
3,9720,5
3,9721,5
3,9726,5
3,9727,5
3,9728,5
3,9729,5
3,9734,5
3,9735,5
3,9738,5
3,9739,5
3,9740,5
3,9741,5
3,9746,5
3,9747,5
3,9748,5
3,9749,5
3,9752,5
3,9753,5
3,9758,5
3,9759,5
3,9760,5
3,9761,5
3,9766,5
3,9767,5
3,9770,5
3,9771,5
3,9772,5
3,9773,5
