"patches","vtkOriginalCellIds","Cell Type"
8,252,5
8,253,5
8,257,5
8,258,5
8,261,5
8,1912,5
8,1913,5
8,1914,5
8,2110,5
8,2111,5
8,2114,5
8,2115,5
8,2117,5
8,2124,5
8,3531,5
8,3532,5
8,3533,5
8,3544,5
8,3545,5
8,3784,5
8,3785,5
8,3786,5
8,3788,5
8,3790,5
8,3796,5
8,3799,5
8,3800,5
8,4267,5
8,6416,5
8,6418,5
8,6419,5
8,6919,5
8,6921,5
8,7277,5
8,7278,5
8,7583,5
8,7709,5
8,7711,5
8,7712,5
8,7714,5
8,7715,5
8,7888,5
8,7889,5
8,7891,5
8,7892,5
8,8029,5
8,8342,5
8,8343,5
8,8346,5
8,8350,5
8,8351,5
8,8541,5
8,8543,5
8,8544,5
8,8594,5
8,8595,5
8,8597,5
8,8599,5
8,8807,5
8,8809,5
8,9610,5
8,9611,5
8,9615,5
8,9617,5
8,9954,5
8,10142,5
8,10143,5
8,10147,5
8,10153,5
8,10154,5
8,10155,5
8,10156,5
8,10254,5
8,10255,5
8,10256,5
8,10257,5
8,10280,5
8,10281,5
8,10283,5
8,10285,5
8,10329,5
8,10330,5
8,10331,5
8,10332,5
8,10337,5
8,10341,5
8,10342,5
8,10357,5
8,10359,5
8,10360,5
8,10361,5
8,10753,5
8,10814,5
8,10815,5
8,10881,5
8,10884,5
