"patches","vtkOriginalCellIds","Cell Type"
3,2085,5
3,2086,5
3,2087,5
3,2151,5
3,2152,5
3,2153,5
3,2221,5
3,2223,5
3,2224,5
3,2225,5
3,2226,5
3,2230,5
3,7099,5
3,7100,5
3,7101,5
3,7179,5
3,7180,5
3,7181,5
3,7183,5
3,7184,5
3,7381,5
3,7384,5
3,7860,5
3,7861,5
3,7862,5
3,8061,5
3,8062,5
3,8063,5
3,8393,5
3,8394,5
3,8458,5
3,8459,5
3,8763,5
3,8888,5
3,8889,5
3,8890,5
3,9096,5
3,9097,5
3,9098,5
3,10703,5
3,10704,5
3,10708,5
3,10709,5
3,10710,5
3,10711,5
3,10712,5
3,10713,5
3,10714,5
3,10716,5
3,10742,5
3,10743,5
3,10744,5
3,10745,5
3,10746,5
3,10747,5
3,10763,5
3,10772,5
3,10773,5
3,10774,5
3,10775,5
3,10844,5
3,10845,5
3,10867,5
3,10868,5
