"patches","vtkOriginalCellIds","Cell Type"
3,1092,5
3,1094,5
3,1095,5
3,1099,5
3,1100,5
3,8278,5
3,8279,5
3,8569,5
3,8570,5
3,8603,5
3,8604,5
3,8605,5
3,8606,5
3,8607,5
3,8608,5
3,8740,5
3,8741,5
3,8742,5
3,8743,5
3,9128,5
3,9129,5
3,9130,5
3,9133,5
3,9136,5
3,9144,5
3,9145,5
3,9146,5
3,9149,5
3,9154,5
3,9155,5
3,9157,5
3,9158,5
3,9159,5
3,9166,5
3,9170,5
3,9240,5
3,9241,5
3,9280,5
3,9309,5
3,9310,5
3,9801,5
3,9802,5
3,9806,5
3,9811,5
3,9837,5
3,9839,5
3,9892,5
3,9893,5
3,9895,5
3,10150,5
3,10151,5
3,10152,5
3,10761,5
3,10762,5
3,10825,5
3,10826,5
3,10827,5
3,10830,5
3,10831,5
3,10833,5
3,10834,5
3,10835,5
3,10836,5
3,10838,5
3,10840,5
3,10852,5
3,10853,5
3,10855,5
3,10861,5
3,10862,5
3,10863,5
3,10864,5
3,10869,5
3,10870,5
3,10871,5
3,10872,5
3,10885,5
3,10886,5
3,10893,5
3,10894,5
