"Region","vtkOriginalCellIds","Cell Type"
8,10784,5
8,10785,5
8,10786,5
8,10787,5
8,10788,5
8,10789,5
8,10790,5
8,10791,5
8,10792,5
8,10793,5
8,10794,5
8,10795,5
8,10796,5
8,10797,5
8,10798,5
8,10799,5
8,10800,5
8,10801,5
8,10802,5
8,10803,5
8,10804,5
8,10805,5
8,10806,5
8,10807,5
8,10808,5
8,10809,5
8,10810,5
8,10811,5
8,10812,5
8,10813,5
8,10814,5
8,10815,5
8,10816,5
8,10817,5
8,10818,5
8,10819,5
8,10820,5
8,10821,5
8,10822,5
8,10823,5
8,10824,5
8,10825,5
8,10826,5
8,10827,5
8,10828,5
8,10829,5
8,10830,5
8,10831,5
