"Region","vtkOriginalCellIds","Cell Type"
8,10608,5
8,10609,5
8,10610,5
8,10611,5
8,10612,5
8,10613,5
8,10614,5
8,10615,5
8,10616,5
8,10617,5
8,10618,5
8,10619,5
8,10620,5
8,10621,5
8,10622,5
8,10623,5
8,10624,5
8,10625,5
8,10626,5
8,10627,5
8,10628,5
8,10629,5
8,10630,5
8,10631,5
8,10632,5
8,10633,5
8,10634,5
8,10635,5
8,10636,5
8,10637,5
8,10638,5
8,10639,5
8,10640,5
8,10641,5
8,10642,5
8,10643,5
8,10644,5
8,10645,5
8,10646,5
8,10647,5
8,10648,5
8,10649,5
8,10650,5
8,10651,5
8,10652,5
8,10653,5
8,10654,5
8,10655,5
8,10656,5
8,10657,5
8,10658,5
8,10659,5
8,10660,5
8,10661,5
8,10662,5
8,10663,5
8,10664,5
8,10665,5
8,10666,5
8,10667,5
8,10668,5
8,10669,5
8,10670,5
8,10671,5
8,10672,5
8,10673,5
8,10674,5
8,10675,5
8,10676,5
8,10677,5
8,10678,5
8,10679,5
8,10680,5
8,10681,5
8,10682,5
8,10683,5
8,10684,5
8,10685,5
8,10686,5
8,10687,5
8,10688,5
8,10689,5
8,10690,5
8,10691,5
8,10692,5
8,10693,5
8,10694,5
8,10695,5
8,10696,5
8,10697,5
8,10698,5
8,10699,5
8,10700,5
8,10701,5
8,10702,5
8,10703,5
