"Region","vtkOriginalCellIds","Cell Type"
3,10832,5
3,10833,5
3,10834,5
3,10835,5
3,10836,5
3,10837,5
3,10838,5
3,10839,5
3,10840,5
3,10841,5
3,10842,5
3,10843,5
3,10844,5
3,10845,5
3,10846,5
3,10847,5
3,10848,5
3,10849,5
3,10850,5
3,10851,5
3,10852,5
3,10853,5
3,10854,5
3,10855,5
3,10856,5
3,10857,5
3,10858,5
3,10859,5
3,10860,5
3,10861,5
3,10862,5
3,10863,5
3,10864,5
3,10865,5
3,10866,5
3,10867,5
3,10868,5
3,10869,5
3,10870,5
3,10871,5
3,10872,5
3,10873,5
3,10874,5
3,10875,5
3,10876,5
3,10877,5
3,10878,5
3,10879,5
3,10880,5
3,10881,5
3,10882,5
3,10883,5
3,10884,5
3,10885,5
3,10886,5
3,10887,5
3,10888,5
3,10889,5
3,10890,5
3,10891,5
3,10892,5
3,10893,5
3,10894,5
3,10895,5
