"Region","vtkOriginalCellIds","Cell Type"
3,10704,5
3,10705,5
3,10706,5
3,10707,5
3,10708,5
3,10709,5
3,10710,5
3,10711,5
3,10712,5
3,10713,5
3,10714,5
3,10715,5
3,10716,5
3,10717,5
3,10718,5
3,10719,5
3,10720,5
3,10721,5
3,10722,5
3,10723,5
3,10724,5
3,10725,5
3,10726,5
3,10727,5
3,10728,5
3,10729,5
3,10730,5
3,10731,5
3,10732,5
3,10733,5
3,10734,5
3,10735,5
3,10736,5
3,10737,5
3,10738,5
3,10739,5
3,10740,5
3,10741,5
3,10742,5
3,10743,5
3,10744,5
3,10745,5
3,10746,5
3,10747,5
3,10748,5
3,10749,5
3,10750,5
3,10751,5
3,10752,5
3,10753,5
3,10754,5
3,10755,5
3,10756,5
3,10757,5
3,10758,5
3,10759,5
3,10760,5
3,10761,5
3,10762,5
3,10763,5
3,10764,5
3,10765,5
3,10766,5
3,10767,5
3,10768,5
3,10769,5
3,10770,5
3,10771,5
3,10772,5
3,10773,5
3,10774,5
3,10775,5
3,10776,5
3,10777,5
3,10778,5
3,10779,5
3,10780,5
3,10781,5
3,10782,5
3,10783,5
